 Address, Адрес
 Amount, Сума
 BOM, Спецификация
 Default Work In Progress Warehouse , Склад по подразбиране за незавършено производство
 Is Child Table, Е дъщерна таблица
 Is Subcontracted, Е подизпълнение
 Item, Артикул
 Name, Име
 Phantom Item, Фантомен артикул
 Rate, Цена
 Raw Material, Суровина
 Skip Material Transfer, Пропусни прехвърляне на материали
 Sub Assembly, Подсглобка
 Summary, Обобщение
 You are impersonating as another user., Вие се представяте като друг потребител.
Company History,История на компанията
Customer Provided Item cannot be Purchase Item also,"Артикул, предоставен от клиент, не може да бъде и артикул за покупка"
Customer Provided Item cannot have Valuation Rate,"Артикул, предоставен от клиент, не може да има оценъчна стойност"
Is Fixed Asset cannot be unchecked,"„Е дълготраен актив"" не може да бъде деактивирано"
Parent signifies the parent table in which this row must be added,"„Родител"" указва родителската таблица, в която трябва да се добави този ред"
"SN-01::10 for ""SN-01"" to ""SN-10""","""SN-01::10"" за ""SN-01"" до ""SN-10"""
"Team Members or ""Management""","„Членове на екипа"" или „Ръководство"""
amended_from field must be present to do an amendment.,"Полето ""amended_from"" трябва да присъства за извършване на корекция."
{0} is not a valid Google Sheets URL,{0} не е валиден URL адрес за Google Sheets
# In Stock,# В наличност
# Req'd Items,# Необходими артикули
#{0},#{0}
${values.doctype_name} has been added to queue for optimization,${values.doctype_name} е добавен в опашката за оптимизация
%  Delivered,% Доставено
% Amount Billed,% Фактурирана сума
% Billed,% Фактурирано
% Complete Method,Метод за % завършеност
% Completed,% Завършено
% Delivered,% Доставено
% Finished Item Quantity,% Количество готов артикул
% Installed,% Инсталирано
% Occupied,% Заето
% Of Grand Total,% От общата сума
% Ordered,% Поръчано
% Picked,% Окомплектовано
% Process Loss,% Загуба от процеса
% Produced,% Произведено
% Progress,% Напредък
% Raw Material Received,% Получена суровина
% Raw Material Returned,% Върната суровина
% Received,% Получено
% Returned,% Върнато
% of materials billed against this Sales Order,% фактурирани материали по тази поръчка за продажба
% of materials delivered against this Pick List,% доставени материали по този лист за окомплектоване
% of materials delivered against this Sales Order,% доставени материали по тази поръчка за продажба
&copy; Frappe Technologies Pvt. Ltd. and contributors,&copy; Frappe Technologies Pvt. Ltd. и сътрудници
&lt;head&gt; HTML,&lt;head&gt; HTML
'*' is only allowed in {0} SQL function(s),'*' е разрешено само в {0} SQL функция(и)
'Account' in the Accounting section of Customer {0},"„Сметка"" в счетоводната секция на клиент {0}"
'Allow Multiple Sales Orders Against a Customer's Purchase Order',"„Разреши множество поръчки за продажба по една поръчка за покупка на клиент"""
'Based On' and 'Group By' can not be same,"„Базирано на"" и „Групирай по"" не могат да бъдат еднакви"
'Days Since Last Order' must be greater than or equal to zero,"„Дни от последната поръчка"" трябва да бъде по-голямо или равно на нула"
'Default {0} Account' in Company {1},"„Сметка по подразбиране за {0}"" в компания {1}"
'Entries' cannot be empty,"„Записи"" не може да бъде празно"
'From Date' is required,"„От дата"" е задължително"
'From Date' must be after 'To Date',"„От дата"" трябва да бъде след „До дата"""
'Has Serial No' can not be 'Yes' for non-stock item,"„Има сериен номер"" не може да бъде „Да"" за нескладов артикул"
'In Global Search' is not allowed for field {0} of type {1},"„В глобалното търсене"" не е разрешено за поле {0} от тип {1}"
'In Global Search' not allowed for type {0} in row {1},"„В глобалното търсене"" не е разрешено за тип {0} на ред {1}"
'In List View' is not allowed for field {0} of type {1},"„В изглед списък"" не е разрешено за поле {0} от тип {1}"
'In List View' not allowed for type {0} in row {1},"„В изглед списък"" не е разрешено за тип {0} на ред {1}"
'Inspection Required before Delivery' has disabled for the item {0},"„Задължителна проверка преди доставка"" е деактивирано за артикул {0}"
'Inspection Required before Purchase' has disabled for the item {0},"„Задължителна проверка преди покупка"" е деактивирано за артикул {0}"
'Opening',"„Начално салдо"""
'Recipients' not specified,"„Получатели"" не са посочени"
'To Date' is required,"„До дата"" е задължително"
'To Package No.' cannot be less than 'From Package No.',"„До пакет №"" не може да бъде по-малко от „От пакет №"""
'Update Stock' can not be checked because items are not delivered via {0},"„Актуализирай наличността"" не може да бъде отбелязано, защото артикулите не се доставят чрез {0}"
'Update Stock' cannot be checked for fixed asset sale,"„Актуализирай наличността"" не може да бъде отбелязано при продажба на дълготраен актив"
'{0}' account is already used by {1}. Use another account.,"Сметка „{0}"" вече се използва от {1}. Използвайте друга сметка."
'{0}' has been already added.,"„{0}"" вече е добавено."
'{0}' is not a valid IBAN,"„{0}"" не е валиден IBAN"
'{0}' is not a valid URL,"„{0}"" не е валиден URL адрес"
'{0}' not allowed for type {1} in row {2},"„{0}"" не е разрешено за тип {1} на ред {2}"
'{0}' should be in company currency {1}.,"„{0}"" трябва да бъде във валутата на компанията {1}."
(A) Qty After Transaction,(А) Количество след операция
(B) Expected Qty After Transaction,(Б) Очаквано количество след операция
(C) Total Qty in Queue,(В) Общо количество в опашката
(C) Total qty in queue,(В) Общо количество в опашката
(D) Balance Stock Value,(Г) Стойност на наличността
(Daily Yield * No of Units Produced) / 100,(Дневен добив * Брой произведени единици) / 100
(E) Balance Stock Value in Queue,(Д) Стойност на наличността в опашката
(F) Change in Stock Value,(Е) Промяна в стойността на наличността
(Forecast),(Прогноза)
(G) Sum of Change in Stock Value,(Ж) Сума на промяната в стойността на наличността
(Good Units Produced / Total Units Produced) × 100,(Годни произведени единици / Общо произведени единици) × 100
(H) Change in Stock Value (FIFO Queue),(З) Промяна в стойността на наличността (FIFO опашка)
(H) Valuation Rate,(З) Оценъчна стойност
(Hour Rate / 60) * Actual Operation Time,(Часова ставка / 60) * Действително време на операция
(I) Valuation Rate,(И) Оценъчна стойност
(J) Valuation Rate as per FIFO,(Й) Оценъчна стойност по FIFO
(K) Valuation = Value (D) ÷ Qty (A),(К) Оценка = Стойност (Г) ÷ Количество (А)
(Mandatory),(Задължително)
(Purchase Order + Material Request + Actual Expense),(Поръчка за покупка + Заявка за материали + Действителен разход)
(Total Workstation Time / Manufacturing Time) * 60,(Общо време на работна станция / Производствено време) * 60
(including),(включително)
(none),(няма)
),)
* Will be calculated in the transaction.,* Ще бъде изчислено в операцията.
** Failed: {0} to {1}: {2},** Неуспешно: {0} до {1}: {2}
+ Add / Remove Fields,+ Добави / Премахни полета
0 - 30 Days,0 - 30 дни
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Чернова; 1 - Осчетоводен; 2 - Анулиран
0 - too guessable: risky password.|||<br>|||1 - very guessable: protection from throttled online attacks. |||<br>|||2 - somewhat guessable: protection from unthrottled online attacks.|||<br>|||3 - safely unguessable: moderate protection from offline slow-hash scenario.|||<br>|||4 - very unguessable: strong protection from offline slow-hash scenario.,0 - твърде лесна за отгатване: рискова парола.|||<br>|||1 - много лесна за отгатване: защита от ограничени онлайн атаки.|||<br>|||2 - донякъде трудна за отгатване: защита от неограничени онлайн атаки.|||<br>|||3 - безопасно трудна за отгатване: умерена защита от офлайн атаки с бавен хеш.|||<br>|||4 - много трудна за отгатване: силна защита от офлайн атаки с бавен хеш.
0 is highest,0 е най-високо
0-30,0-30
0-30 Days,0-30 дни
1 = True & 0 = False,1 = Вярно & 0 = Невярно
1 Currency = [?] Fraction|||For e.g. 1 USD = 100 Cent,1 Валута = [?] Дробна единица|||Напр. 1 USD = 100 цента
1 Day,1 ден
1 Google Calendar Event synced.,1 събитие от Google Calendar е синхронизирано.
1 Loyalty Points = How much base currency?,1 точка лоялност = Колко в базова валута?
1 Report,1 справка
1 day ago,преди 1 ден
1 hour,1 час
1 hour ago,преди 1 час
1 hr,1 ч.
1 minute ago,преди 1 минута
1 month ago,преди 1 месец
1 of 2,1 от 2
1 record will be exported,1 запис ще бъде експортиран
1 row from {0},1 ред от {0}
1 row to {0},1 ред до {0}
1 second ago,преди 1 секунда
1 week ago,преди 1 седмица
